id_passageiro,sobreviveu,classe_bilhete,genero,idade,irmaos_conjuges_abordo,pais_filhos_abordo,numero_bilhete,preco_bilhete,cabine_numero,local_embarque
1,False,3,M,22.0,1,0,A/5 21171,7.25,,Southampton
2,True,1,F,38.0,1,0,PC 17599,71.2833,C85,Cherbourg
3,True,3,F,26.0,0,0,STON/O2. 3101282,7.925,,Southampton
4,True,1,F,35.0,1,0,113803,53.1,C123,Southampton
5,False,3,M,35.0,0,0,373450,8.05,,Southampton
6,False,3,M,,0,0,330877,8.4583,,Queenstown
7,False,1,M,54.0,0,0,17463,51.8625,E46,Southampton
8,False,3,M,2.0,3,1,349909,21.075,,Southampton
9,True,3,F,27.0,0,2,347742,11.1333,,Southampton
10,True,2,F,14.0,1,0,237736,30.0708,,Cherbourg
11,True,3,F,4.0,1,1,PP 9549,16.7,G6,Southampton
12,True,1,F,58.0,0,0,113783,26.55,C103,Southampton
13,False,3,M,20.0,0,0,A/5. 2151,8.05,,Southampton
14,False,3,M,39.0,1,5,347082,31.275,,Southampton
15,False,3,F,14.0,0,0,350406,7.8542,,Southampton
16,True,2,F,55.0,0,0,248706,16.0,,Southampton
17,False,3,M,2.0,4,1,382652,29.125,,Queenstown
18,True,2,M,,0,0,244373,13.0,,Southampton
19,False,3,F,31.0,1,0,345763,18.0,,Southampton
20,True,3,F,,0,0,2649,7.225,,Cherbourg
21,False,2,M,35.0,0,0,239865,26.0,,Southampton
22,True,2,M,34.0,0,0,248698,13.0,D56,Southampton
23,True,3,F,15.0,0,0,330923,8.0292,,Queenstown
24,True,1,M,28.0,0,0,113788,35.5,A6,Southampton
25,False,3,F,8.0,3,1,349909,21.075,,Southampton
26,True,3,F,38.0,1,5,347077,31.3875,,Southampton
27,False,3,M,,0,0,2631,7.225,,Cherbourg
28,False,1,M,19.0,3,2,19950,263.0,C23 C25 C27,Southampton
29,True,3,F,,0,0,330959,7.8792,,Queenstown
30,False,3,M,,0,0,349216,7.8958,,Southampton
31,False,1,M,40.0,0,0,PC 17601,27.7208,,Cherbourg
32,True,1,F,,1,0,PC 17569,146.5208,B78,Cherbourg
33,True,3,F,,0,0,335677,7.75,,Queenstown
34,False,2,M,66.0,0,0,C.A. 24579,10.5,,Southampton
35,False,1,M,28.0,1,0,PC 17604,82.1708,,Cherbourg
36,False,1,M,42.0,1,0,113789,52.0,,Southampton
37,True,3,M,,0,0,2677,7.2292,,Cherbourg
38,False,3,M,21.0,0,0,A./5. 2152,8.05,,Southampton
39,False,3,F,18.0,2,0,345764,18.0,,Southampton
40,True,3,F,14.0,1,0,2651,11.2417,,Cherbourg
41,False,3,F,40.0,1,0,7546,9.475,,Southampton
42,False,2,F,27.0,1,0,11668,21.0,,Southampton
43,False,3,M,,0,0,349253,7.8958,,Cherbourg
44,True,2,F,3.0,1,2,SC/Paris 2123,41.5792,,Cherbourg
45,True,3,F,19.0,0,0,330958,7.8792,,Queenstown
46,False,3,M,,0,0,S.C./A.4. 23567,8.05,,Southampton
47,False,3,M,,1,0,370371,15.5,,Queenstown
48,True,3,F,,0,0,14311,7.75,,Queenstown
49,False,3,M,,2,0,2662,21.6792,,Cherbourg
