Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent
15231,525.5789795,229.7498779,85.09378815,0.928882003,15617,0.572895527
14656,494.3110046,206.0200653,91.73097229,0.895404994,15072,0.615436316
14634,501.1220093,214.106781,87.76828766,0.912118077,14954,0.693258822
14688,507.1669922,211.7433777,89.31245422,0.906690896,15262,0.646023929
13479,477.0159912,200.0530548,86.65029144,0.901328325,13786,0.657897294
15757,509.2810059,207.2966766,98.33613586,0.88032347,16150,0.58970809
16405,526.5700073,221.6125183,95.43670654,0.902520597,16837,0.65888828
14534,483.6409912,196.6508179,95.05068207,0.875428557,14932,0.649651349
13485,471.5700073,198.272644,87.72728729,0.896789312,13734,0.572319865
14930,499.9249878,212.2458191,90.01747894,0.905606449,15248,0.624372721
14626,496.5859985,204.5341339,92.97486877,0.890711546,15070,0.57021445
15926,522.7399902,225.7360535,91.05709076,0.915033162,16240,0.779768884
14076,479.677002,199.489151,90.70998383,0.890638888,14434,0.781218767
13500,476.9150085,202.5466766,85.4054718,0.906754851,13800,0.717703342
14349,496.9460144,213.5440216,86.16077423,0.914988399,14678,0.666837096
15238,496.8710022,208.5317841,93.82839966,0.893054903,15487,0.732314467
13509,480.4660034,207.1371613,83.94016266,0.914210558,13732,0.595634937
13699,480.7290039,197.9709167,89.94907379,0.890820742,14178,0.672046721
13921,481.9930115,203.44487,88.12581635,0.901313186,14210,0.561330616
14405,488.2369995,204.43013,90.62645721,0.896367073,14742,0.763785779
13377,472.9609985,199.9407806,86.68286896,0.901133001,13685,0.79483068
15043,498.2990112,206.0117035,94.76668549,0.887915671,15414,0.586883605
13237,466.0029907,197.9048004,85.70957184,0.90135318,13445,0.592418551
16226,524.2050171,216.8732605,96.65367889,0.895197868,16748,0.648624897
14945,493.1080017,202.0469818,95.07941437,0.882356942,15357,0.739998043
13130,467.9219971,196.1468048,86.20711517,0.898241103,13462,0.574818313
13414,479.901001,203.085968,85.73687744,0.906516492,13735,0.714042366
11827,455.2210083,194.7844543,78.43153381,0.915350497,12212,0.769986987
14479,475.9249878,200.5519409,92.17806244,0.888114691,14696,0.711428881
14306,482.2479858,197.685791,94.05610657,0.879561126,14667,0.587950051
14415,488.1220093,203.5928497,91.034729,0.89446342,14758,0.674102128
14415,490.0660095,206.5392456,90.01753235,0.900025427,14671,0.65332669
14524,480.2120056,199.9330139,93.31210327,0.884406805,14808,0.611279488
13780,497.428009,221.7229004,79.95213318,0.932722569,14010,0.550781429
14456,492.9509888,212.4112244,87.36013031,0.911509812,14726,0.795028329
13973,474.0079956,192.3492889,93.77914429,0.873097241,14354,0.614197791
13858,482.5799866,205.0201569,86.9646759,0.905579686,14154,0.555921078
13148,481.7219849,201.5188904,84.54153442,0.907745302,13572,0.623748779
12792,462.072998,194.4810028,84.73088837,0.900103092,13032,0.593927026
15778,515.2730103,214.0378418,95.49766541,0.89494729,16283,0.68629837
15404,509.5169983,217.2975769,91.39753723,0.907241523,15696,0.633700848
15360,504.2319946,210.3907471,94.74095917,0.892872512,15751,0.757657945
15746,503.2309875,204.8744354,99.44870758,0.874284983,16171,0.753036797
14304,489.0369873,211.0266113,86.83942413,0.911405563,14483,0.577729285
15136,518.6439819,221.7091064,88.20763397,0.917449176,15469,0.529712319
12919,475.2600098,201.8156586,83.20626831,0.91105336,13256,0.765162289
15224,510.8819885,213.196167,92.32341003,0.901372612,15686,0.639529526
12950,468.5700073,196.6167908,84.80031586,0.902209818,13584,0.761809528
15551,508.4070129,217.0155029,92.15181732,0.905365825,15786,0.807424724
14166,483.7049866,204.6273193,88.99236298,0.900478899,14412,0.766061008
12308,451.6090088,193.2675323,81.65988922,0.906352401,12488,0.724042594
