Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,35,1,2,530,4,4,1,4,1,1,3,5,5,5,4,1,0,0.0,0
1,68,0,0,1085,3,2,4,2,4,4,3,5,4,3,5,4,37,25.0,0
0,24,1,0,933,1,1,1,1,1,1,1,1,2,4,2,1,0,10.0,0
1,54,0,0,581,2,2,5,5,4,5,5,2,5,4,5,3,0,94.0,0
1,10,0,1,1096,3,2,1,2,1,1,3,1,3,3,3,1,0,0.0,0
1,36,0,0,1521,2,2,5,2,5,5,3,4,3,3,3,5,0,4.0,0
1,42,0,0,764,1,1,2,1,1,4,4,1,4,5,4,5,0,0.0,0
1,11,0,0,358,3,3,3,3,3,3,4,5,4,4,4,3,41,39.0,0
1,64,1,2,1521,2,4,3,2,2,2,2,2,2,1,2,4,22,7.0,0
1,65,0,0,334,2,2,4,2,4,4,4,2,4,3,4,4,23,9.0,0
0,13,1,0,1126,4,4,2,4,2,2,2,4,3,4,4,2,26,21.0,0
1,71,1,0,402,3,2,3,3,3,4,3,3,4,3,3,3,222,208.0,0
0,14,1,0,978,3,3,4,3,5,4,1,1,4,4,3,4,0,0.0,0
0,24,1,0,546,1,1,2,1,2,2,4,5,3,3,4,2,60,52.0,0
1,53,0,0,2133,3,2,5,2,3,5,3,3,4,3,5,5,0,0.0,0
1,47,0,0,451,2,2,5,5,5,4,4,2,3,4,4,3,4,9.0,0
0,51,1,2,591,1,1,3,1,3,3,3,5,4,5,5,3,3,0.0,0
1,68,0,0,1147,3,3,3,4,3,2,2,3,2,2,2,3,22,15.0,0
1,19,0,1,935,4,3,5,3,5,5,4,2,5,4,4,5,7,4.0,0
1,61,0,0,337,2,3,3,3,3,2,4,3,4,3,3,3,142,151.0,0
1,22,0,0,220,4,4,4,5,5,4,3,3,3,5,1,5,182,169.0,0
1,30,0,2,577,1,1,1,1,1,1,3,5,5,4,5,1,0,0.0,0
1,39,0,0,936,3,3,5,3,5,5,3,5,4,2,3,5,0,8.0,0
1,32,0,0,612,2,3,3,3,3,3,3,4,1,3,2,3,0,0.0,0
1,57,0,0,1334,1,1,2,5,4,3,3,1,3,5,3,4,3,0.0,0
0,37,1,0,89,2,2,3,2,1,3,5,1,4,2,2,3,0,0.0,0
1,67,0,0,488,2,2,3,4,4,5,5,2,5,3,5,4,0,33.0,0
1,57,0,0,1017,2,2,3,5,5,2,2,2,2,4,2,4,0,0.0,0
1,69,1,2,2558,2,5,5,2,2,2,2,2,2,4,2,3,85,80.0,0
1,42,1,2,1013,3,3,4,3,4,3,3,3,3,4,3,2,20,91.0,0
0,27,1,0,1262,2,2,2,2,2,2,1,4,4,2,3,2,3,0.0,0
1,32,1,2,2071,1,2,1,1,1,1,1,2,3,4,3,1,0,0.0,0
1,10,1,0,1428,3,2,3,3,4,3,3,5,4,1,4,3,0,0.0,0
1,39,0,0,334,2,2,2,2,3,2,3,1,3,3,3,2,41,41.0,0
1,25,0,0,637,1,1,3,1,3,3,1,5,4,4,4,3,0,0.0,0
0,54,1,0,1062,2,1,2,1,2,2,4,5,3,3,4,2,0,19.0,0
1,50,1,2,459,2,2,5,3,4,2,2,2,2,4,2,4,28,28.0,0
0,26,1,0,2419,1,1,1,3,4,1,4,2,4,4,1,4,0,13.0,0
1,61,0,1,315,3,3,1,3,4,5,5,3,5,3,5,1,0,60.0,0
1,11,0,0,1911,1,1,4,1,4,4,4,2,5,3,4,4,26,17.0,0
1,57,1,2,1849,4,2,1,2,3,4,4,4,4,3,4,4,0,6.0,0
1,26,0,0,554,1,1,4,1,5,4,3,2,3,4,3,4,0,0.0,0
1,59,0,0,214,4,0,0,2,2,1,2,3,3,2,1,2,198,206.0,0
0,10,1,0,1306,2,2,3,2,3,3,5,5,4,5,4,3,0,0.0,0
0,23,1,0,639,3,3,5,3,4,5,3,2,4,1,4,5,2,2.0,0
1,69,0,0,544,3,3,1,2,2,4,4,3,4,5,4,4,0,5.0,0
1,69,0,0,429,1,1,2,1,2,2,5,5,4,4,5,2,22,15.0,0
1,15,0,2,1747,1,1,5,1,5,5,3,2,4,4,5,5,4,25.0,0
0,36,1,0,874,3,4,1,4,4,1,5,5,2,3,2,1,30,18.0,0
1,47,1,0,1061,2,1,2,2,2,2,2,1,3,3,3,2,18,5.0,0
0,16,1,0,200,3,2,1,2,1,1,5,1,2,1,2,1,0,0.0,0
1,41,0,0,1208,3,3,4,3,2,4,2,4,5,4,1,4,11,0.0,0
1,18,0,0,484,3,3,2,3,4,2,1,5,3,2,2,2,10,13.0,0
1,28,0,0,280,1,1,1,1,1,1,3,4,5,5,5,1,0,0.0,0
0,33,1,0,577,3,3,2,3,1,2,1,4,3,4,3,2,0,0.0,0
1,18,0,2,594,1,1,2,1,2,2,3,2,1,3,2,2,1,0.0,0
1,43,0,0,163,3,3,4,5,3,1,1,3,1,1,1,4,35,34.0,0
0,54,1,0,198,3,3,4,3,4,4,4,3,2,4,4,4,0,0.0,0
1,56,0,0,853,2,2,4,5,4,2,2,2,2,5,2,5,2,0.0,0
1,45,0,0,328,4,4,5,3,3,2,2,4,2,3,2,2,5,0.0,0
1,54,1,0,262,2,2,4,4,3,2,2,2,2,3,2,4,0,0.0,0
0,22,1,0,403,1,1,2,1,5,2,2,1,5,4,4,2,34,32.0,0
1,27,1,2,507,3,5,3,3,3,3,3,1,4,1,3,3,25,20.0,0
0,27,1,0,954,3,3,3,3,3,3,1,1,3,3,3,3,0,6.0,0
1,14,0,1,372,2,2,3,2,3,3,4,4,1,3,2,3,14,18.0,0
1,16,0,0,1464,2,2,4,2,4,4,5,4,5,4,5,4,0,0.0,0
0,39,1,2,862,1,1,2,1,2,2,4,4,4,3,3,2,0,0.0,0
1,62,0,0,621,2,2,5,2,1,5,3,4,5,5,4,5,0,0.0,0
1,31,1,2,3720,3,1,3,3,3,3,4,1,3,3,3,3,0,0.0,0
0,79,1,0,102,2,2,3,2,3,3,2,2,4,2,3,3,0,0.0,0
1,43,1,0,590,4,5,4,4,4,4,1,5,2,4,2,4,0,6.0,0
1,67,0,0,612,3,3,2,3,2,2,5,4,3,1,1,2,2,2.0,0
1,35,0,0,606,2,2,2,2,2,2,3,5,4,5,5,2,25,25.0,0
1,23,1,0,1739,1,5,2,2,1,4,5,4,4,1,1,1,188,169.0,0
0,38,1,2,1562,3,3,2,3,2,2,5,2,5,3,4,2,2,25.0,0
1,9,0,0,237,1,0,4,0,4,4,3,2,4,1,3,4,0,0.0,0
1,44,1,2,2331,1,4,3,3,3,4,4,4,1,3,4,1,0,14.0,0
1,47,0,0,907,1,1,1,5,5,3,3,4,5,5,4,5,377,368.0,0
1,27,0,0,2565,1,1,2,1,2,2,3,2,5,1,1,2,28,0.0,0
1,67,0,0,948,2,2,2,5,5,5,5,2,5,4,5,5,18,24.0,0
0,22,1,0,488,3,3,2,3,2,2,3,2,4,3,4,2,70,53.0,0
0,34,1,2,712,3,2,2,2,2,2,5,2,5,3,5,2,0,9.0,0
0,49,1,2,1096,1,0,4,1,4,4,3,4,4,5,5,4,0,2.0,0
1,55,0,1,746,2,2,4,2,4,4,2,4,4,1,2,4,0,0.0,0
1,42,0,1,1269,1,1,5,5,5,3,3,1,3,3,3,3,65,83.0,0
1,50,1,2,1571,4,3,4,2,2,4,4,4,4,1,4,4,56,47.0,0
1,54,1,2,3434,1,4,3,3,4,1,1,2,1,4,1,1,6,4.0,0
1,67,0,2,365,2,2,1,2,3,2,2,2,5,4,2,3,85,71.0,0
1,45,1,2,356,1,3,4,4,3,1,1,1,1,4,1,3,11,0.0,0
