Model,Metric,Quality Score
CopulaGAN,KSComplement,0.884160756501182
CopulaGAN,TVComplement,0.9162905652267355
CopulaGAN,ContingencySimilarity,0.8242738349121328
CopulaGAN,CorrelationSimilarity,0.9754388856635071
CTGAN,KSComplement,0.9602836879432625
CTGAN,TVComplement,0.9079088759939824
CTGAN,ContingencySimilarity,0.8512374150672023
CTGAN,CorrelationSimilarity,0.9627821899387803
FastML,KSComplement,0.9047496238985602
FastML,TVComplement,0.9266064904362776
FastML,ContingencySimilarity,0.8356312718014846
FastML,CorrelationSimilarity,0.9890970164759152
GaussianCopula,KSComplement,0.7592520954223081
GaussianCopula,TVComplement,0.9471308833010961
GaussianCopula,ContingencySimilarity,0.768032204202417
GaussianCopula,CorrelationSimilarity,0.9724619892719039
TVAE,KSComplement,0.9100795185901569
TVAE,TVComplement,0.8963571889103804
TVAE,ContingencySimilarity,0.8020797169733339
TVAE,CorrelationSimilarity,0.9626480808463043
