no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,lead_time,arrival_month,market_segment_type,repeated_guest,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,2,1,0,34,10,1,0,104.85,0,0
2,0,0,4,1,1,19,7,1,0,175.0,2,0
2,0,0,1,2,0,55,4,0,0,104.0,0,0
2,0,2,1,1,1,73,8,1,0,140.4,2,0
1,0,0,1,1,0,27,5,1,0,120.12,1,0
1,0,2,0,1,0,24,11,1,0,101.0,1,0
2,0,0,3,1,0,49,9,0,0,76.5,0,0
2,0,2,2,0,0,70,12,1,0,74.8,1,0
3,0,1,4,1,0,92,11,0,0,92.65,0,0
2,0,1,2,1,0,207,6,0,0,80.75,0,0
2,0,0,1,2,0,55,4,0,0,104.0,0,0
2,0,0,3,1,0,92,8,0,0,63.75,1,0
2,0,0,2,1,0,45,10,1,0,96.3,2,0
1,0,0,1,1,0,15,2,2,0,81.0,0,0
2,0,0,2,1,0,28,9,1,0,163.0,1,0
2,0,2,1,1,0,320,8,1,0,94.95,1,0
1,0,1,3,1,0,0,5,3,0,95.0,0,0
2,0,0,2,2,0,63,9,0,0,116.0,0,0
1,0,0,3,1,0,151,1,0,0,71.0,0,0
2,0,2,1,1,0,170,4,0,0,70.0,1,0
1,0,0,4,1,0,34,8,1,0,104.4,1,0
2,0,1,1,1,0,73,6,1,0,122.4,2,0
2,0,0,2,1,0,29,12,2,0,85.0,0,0
1,0,2,2,1,0,1,7,1,0,163.5,0,0
2,1,0,1,1,0,34,7,1,0,152.1,0,0
1,0,0,1,1,0,73,10,0,0,62.5,0,0
2,0,1,5,1,0,41,12,0,0,70.0,0,0
2,2,0,2,1,0,0,3,1,0,201.0,2,0
1,0,1,2,1,0,7,5,2,0,95.0,0,0
2,0,1,3,1,0,27,12,1,0,96.9,2,0
2,0,2,1,2,0,150,1,0,0,101.0,0,0
2,0,2,7,2,0,17,12,0,0,108.2,0,0
2,0,1,2,1,0,86,5,0,0,65.0,1,0
2,0,2,0,1,0,2,7,4,0,0.0,1,0
2,0,0,4,2,0,100,9,0,0,140.0,1,0
2,0,0,3,1,0,22,11,1,0,90.95,1,0
2,0,2,2,1,0,10,10,1,0,77.21,2,0
3,1,3,5,1,0,40,8,2,0,183.74,3,0
1,0,2,3,1,0,359,10,0,0,70.0,0,0
2,0,0,1,0,0,13,9,2,0,100.0,1,0
1,0,0,3,0,0,25,5,1,0,129.0,0,0
2,0,2,4,1,0,7,11,1,0,111.4,1,0
2,0,0,1,0,0,19,7,1,0,99.0,1,0
1,0,0,2,1,0,164,10,0,0,100.0,0,0
1,0,0,3,1,0,4,2,2,1,65.33,0,0
2,0,1,5,1,0,70,7,0,0,85.0,1,0
2,0,2,2,1,0,134,12,0,0,65.0,0,0
2,0,0,3,0,1,35,10,1,0,118.0,2,0
2,0,0,3,1,0,335,10,0,0,90.0,2,0
1,0,0,1,1,0,11,1,2,0,66.0,0,0
2,0,1,0,1,0,18,7,1,0,151.0,1,0
1,0,0,2,1,0,2,11,2,1,65.0,1,0
2,0,0,1,2,0,72,9,0,0,108.0,0,0
2,0,0,2,1,0,86,9,0,0,105.0,1,0
1,0,0,1,1,0,6,10,0,0,130.0,0,0
3,0,1,3,1,0,112,5,1,0,115.52,1,0
2,0,0,1,0,0,8,5,1,0,119.0,0,0
2,0,1,1,1,0,3,10,2,0,142.0,0,0
2,0,1,2,0,0,64,4,1,0,116.1,2,0
1,0,0,3,1,0,151,1,0,0,71.0,0,0
3,0,0,1,1,0,45,9,1,0,151.2,0,0
1,0,0,2,1,0,32,11,0,0,73.0,0,0
2,1,1,3,1,0,35,9,1,0,127.44,1,0
2,0,1,2,0,0,7,8,1,0,124.67,1,0
2,1,0,2,1,0,55,10,1,0,142.2,2,0
2,1,2,4,1,0,109,7,1,0,105.21,4,0
2,0,0,2,0,0,6,1,1,0,69.5,2,0
2,0,0,5,1,0,133,6,0,0,90.95,0,0
1,0,1,0,1,0,3,5,0,0,77.6,0,0
2,2,0,3,1,0,1,6,1,0,209.1,2,0
2,0,2,3,1,0,37,2,1,0,87.3,0,0
1,0,0,1,1,0,9,12,1,0,86.0,0,0
