event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Argentina,home, 23' ,Penalty, Lionel Messi , Penalty 
2,1,Argentina,home, 36' ,Goal, Ángel Di María , Alexis Mac Allister 
3,1,France,away, 41' ,Substitution, Randal Kolo Muani , Ousmane Dembélé 
4,1,France,away, 41' ,Substitution, Marcus Thuram , Olivier Giroud 
5,1,Argentina,home, 52' ,Yellow card, Enzo Fernández ,
6,1,France,away, 55' ,Yellow card, Adrien Rabiot ,
7,1,Argentina,home, 64' ,Substitution, Marcos Acuña , Ángel Di María 
8,1,France,away, 71' ,Substitution, Eduardo Camavinga , Theo Hernandez 
9,1,France,away, 71' ,Substitution, Kingsley Coman , Antoine Griezmann 
10,1,France,away, 80' ,Penalty, Kylian Mbappé , Penalty 
11,1,France,away, 81' ,Goal, Kylian Mbappé , Marcus Thuram 
12,1,France,away, 87' ,Yellow card, Marcus Thuram ,
13,1,France,away, 95' ,Yellow card, Olivier Giroud ,
14,1,Argentina,home, 98' ,Yellow card, Marcos Acuña ,
15,1,Argentina,home, 90' ,Substitution, Gonzalo Montiel , Nahuel Molina 
16,1,France,away, 96' ,Substitution, Youssouf Fofana , Adrien Rabiot 
17,1,Argentina,home, 102' ,Substitution, Leandro Paredes , Rodrigo De Paul 
18,1,Argentina,home, 103' ,Substitution, Lautaro Martínez , Julián Álvarez 
19,1,Argentina,home, 108' ,Goal, Lionel Messi ,
20,1,France,away, 113' ,Substitution, Ibrahima Konaté , Raphaël Varane 
21,1,Argentina,home, 114' ,Yellow card, Leandro Paredes ,
22,1,Argentina,home, 116' ,Yellow card, Gonzalo Montiel ,
23,1,Argentina,home, 116' ,Substitution, Germán Pezzella , Alexis Mac Allister 
24,1,France,away, 118' ,Penalty, Kylian Mbappé , Penalty 
25,1,Argentina,home, 121' ,Substitution, Paulo Dybala , Nicolás Tagliafico 
26,1,France,away, 121' ,Substitution, Axel Disasi , Jules Koundé 
27,1,France,away,False,PK,,
28,1,Argentina,home,False,PK,,
29,1,France,away,False,PK,,
30,1,Argentina,home,False,PK,,
31,1,France,away,False,PK,,
32,1,Argentina,home,False,PK,,
33,1,France,away,False,PK,,
34,1,Argentina,home,False,PK,,
35,1,Argentina,home, 126' ,Yellow card, Emiliano Martínez ,
36,1,Croatia,home, 7' ,Goal, Joško Gvardiol , Ivan Perišić 
37,1,Morocco,away, 9' ,Goal, Achraf Dari ,
38,1,Croatia,home, 42' ,Goal, Mislav Oršić , Marko Livaja 
39,1,Morocco,away, 45' ,Substitution, Ilias Chair , Abdelhamid Sabiri 
40,1,Morocco,away, 56' ,Substitution, Azzedine Ounahi , Bilal El Khannous 
41,1,Croatia,home, 61' ,Substitution, Nikola Vlašić , Andrej Kramarić 
42,1,Morocco,away, 64' ,Substitution, Badr Benoun , Achraf Dari 
43,1,Morocco,away, 64' ,Substitution, Anass Zaroury , Sofiane Boufal 
44,1,Croatia,home, 66' ,Substitution, Bruno Petković , Marko Livaja 
45,1,Croatia,home, 67' ,Substitution, Mario Pašalić , Lovro Majer 
46,1,Morocco,away, 67' ,Substitution, Selim Amallah , Jawad El Yamiq 
